Age,Gender,HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
All Ages,Female,Total,NA,NA,,2014,"5,539.43",909.512,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
All Ages,Female,Total,NA,NA,,2015,"5,740.72",937.693,,,,,,,,0.036,0.031,0.04,-0.003,0.003,0.043,-0.006,0.036,0.031,0.04,-0.003,0.003,0.043,-0.006
All Ages,Female,Total,NA,NA,,2016,"6,020.30",973.714,,,,,,,,0.049,0.038,0.037,0.011,0.009,0.046,0.002,0.087,0.071,0.079,0.008,0.012,0.091,-0.003
All Ages,Female,Total,NA,NA,,2017,"6,264.67",999.487,,,,,,,,0.041,0.026,0.044,-0.003,-0.004,0.04,0.001,0.131,0.099,0.126,0.005,0.007,0.134,-0.002
All Ages,Female,Total,NA,NA,,2018,"6,528.92","1,038.68",,,,,,,,0.042,0.039,0.026,0.016,0.001,0.028,0.014,0.179,0.142,0.156,0.021,0.009,0.166,0.012
All Ages,Female,IP,NA,NA,All Inpatient,2014,"1,064.28",63.712,"15,784.06",944.901,67.428,1,"15,784.06",944.901,67.428,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,All Inpatient,2015,"1,078.90",64.287,"16,429.72",978.986,65.667,1.006,"16,535.37",985.281,65.248,0.014,0.009,0.041,-0.026,0.006,0.048,-0.032,0.014,0.009,0.041,-0.026,0.006,0.048,-0.032
All Ages,Female,IP,NA,NA,All Inpatient,2016,"1,122.32",65.372,"17,047.81",992.985,65.834,1.022,"17,418.66","1,014.59",64.432,0.04,0.017,0.038,0.003,0.015,0.053,-0.013,0.055,0.026,0.08,-0.024,0.022,0.104,-0.044
All Ages,Female,IP,NA,NA,All Inpatient,2017,"1,148.42",66.384,"17,743.85","1,025.68",64.722,1.029,"18,261.04","1,055.58",62.889,0.023,0.015,0.041,-0.017,0.007,0.048,-0.024,0.079,0.042,0.124,-0.04,0.029,0.157,-0.067
All Ages,Female,IP,NA,NA,All Inpatient,2018,"1,166.89",67.494,"18,149.70","1,049.80",64.292,1.036,"18,805.68","1,087.74",62.05,0.016,0.017,0.023,-0.007,0.007,0.03,-0.013,0.096,0.059,0.15,-0.046,0.036,0.191,-0.08
All Ages,Female,IP,NA,NA,Hospice,2014,2.022,0.156,"5,571.62",430.476,0.363,1,"5,571.62",430.476,0.363,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Hospice,2015,2.125,0.166,"5,626.11",439.233,0.378,1,"5,626.11",439.233,0.378,0.051,0.062,0.01,0.041,0,0.01,0.041,0.051,0.062,0.01,0.041,0,0.01,0.041
All Ages,Female,IP,NA,NA,Hospice,2016,1.979,0.159,"5,261.91",423.718,0.376,1,"5,261.91",423.718,0.376,-0.069,-0.04,-0.065,-0.005,0,-0.065,-0.005,-0.021,0.02,-0.056,0.036,0,-0.056,0.036
All Ages,Female,IP,NA,NA,Hospice,2017,1.878,0.167,"5,482.12",488.198,0.343,1,"5,482.12",488.198,0.343,-0.051,0.05,0.042,-0.089,0,0.042,-0.089,-0.071,0.071,-0.016,-0.056,0,-0.016,-0.056
All Ages,Female,IP,NA,NA,Hospice,2018,1.725,0.134,"4,261.48",331.917,0.405,1,"4,261.48",331.917,0.405,-0.082,-0.197,-0.223,0.181,0,-0.223,0.181,-0.147,-0.14,-0.235,0.115,0,-0.235,0.115
All Ages,Female,IP,NA,NA,Labor/Delivery/Newborns,2014,253.693,29.636,"8,616.73","1,006.58",29.442,1,"8,616.73","1,006.58",29.442,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Labor/Delivery/Newborns,2015,260.227,30.593,"8,866.62","1,042.39",29.349,1.02,"9,046.53","1,063.54",28.765,0.026,0.032,0.029,-0.003,0.02,0.05,-0.023,0.026,0.032,0.029,-0.003,0.02,0.05,-0.023
All Ages,Female,IP,NA,NA,Labor/Delivery/Newborns,2016,270.492,32.109,"9,161.27","1,087.51",29.526,1.031,"9,443.69","1,121.04",28.643,0.039,0.05,0.033,0.006,0.01,0.044,-0.004,0.066,0.083,0.063,0.003,0.031,0.096,-0.027
