plan_type,HCCI_category,HCCI_outpatient_service_type,HCCI_subcategory,RX_generic_brand_indicator,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
CDHP,Inpatient,NA,All Inpatient,NA,2014,888.316,60.691,"17,675.11","1,207.59",50.258,1,"17,675.11","1,207.59",50.258,,,,,,,,0,0,0,0,0,0,0
CDHP,Inpatient,NA,All Inpatient,NA,2015,904.453,59.763,"18,281.85","1,208.00",49.473,1.011,"18,491.09","1,221.82",48.913,0.018,-0.015,0.034,-0.016,0.011,0.046,-0.027,0.018,-0.015,0.034,-0.016,0.011,0.046,-0.027
CDHP,Inpatient,NA,All Inpatient,NA,2016,956.342,56.989,"18,951.62","1,129.34",50.462,1.026,"19,450.54","1,159.07",49.168,0.057,-0.046,0.037,0.02,0.015,0.052,0.005,0.077,-0.061,0.072,0.004,0.026,0.1,-0.022
CDHP,Inpatient,NA,All Inpatient,NA,2017,991.411,57.16,"19,624.08","1,131.44",50.52,1.035,"20,317.45","1,171.42",48.796,0.037,0.003,0.035,0.001,0.009,0.045,-0.008,0.116,-0.058,0.11,0.005,0.035,0.149,-0.029
CDHP,Inpatient,NA,All Inpatient,NA,2018,"1,041.36",58.233,"20,166.51","1,127.71",51.638,1.052,"21,216.15","1,186.41",49.083,0.05,0.019,0.028,0.022,0.016,0.044,0.006,0.172,-0.041,0.141,0.027,0.052,0.2,-0.023
CDHP,Inpatient,NA,Hospice,NA,2014,1.576,0.17,"4,972.80",535.634,0.317,,"4,972.80",535.634,0.317,,,,,,,,0,0,0,0,,0,0
CDHP,Inpatient,NA,Hospice,NA,2015,1.58,0.167,"4,784.16",505.957,0.33,,"4,784.16",505.957,0.33,0.003,-0.015,-0.038,0.042,,-0.038,0.042,0.003,-0.015,-0.038,0.042,,-0.038,0.042
CDHP,Inpatient,NA,Hospice,NA,2016,1.494,0.18,"4,534.82",545.396,0.329,,"4,534.82",545.396,0.329,-0.055,0.075,-0.052,-0.003,,-0.052,-0.003,-0.052,0.059,-0.088,0.04,,-0.088,0.04
CDHP,Inpatient,NA,Hospice,NA,2017,1.686,0.184,"5,515.33",600.856,0.306,,"5,515.33",600.856,0.306,0.128,0.022,0.216,-0.072,,0.216,-0.072,0.07,0.082,0.109,-0.036,,0.109,-0.036
CDHP,Inpatient,NA,Hospice,NA,2018,1.543,0.139,"4,163.89",375.752,0.371,,"4,163.89",375.752,0.371,-0.085,-0.242,-0.245,0.213,,-0.245,0.213,-0.021,-0.18,-0.163,0.169,,-0.163,0.169
CDHP,Inpatient,NA,Labor/Delivery/Newborns,NA,2014,158.87,22.353,"8,526.25","1,199.65",18.633,1,"8,526.25","1,199.65",18.633,,,,,,,,0,0,0,0,0,0,0
CDHP,Inpatient,NA,Labor/Delivery/Newborns,NA,2015,165.258,22.294,"8,777.82","1,184.14",18.827,1.031,"9,045.54","1,220.26",18.27,0.04,-0.003,0.03,0.01,0.031,0.061,-0.02,0.04,-0.003,0.03,0.01,0.031,0.061,-0.02
CDHP,Inpatient,NA,Labor/Delivery/Newborns,NA,2016,175.807,22.499,"9,057.79","1,159.16",19.409,1.043,"9,447.99","1,209.09",18.608,0.064,0.009,0.032,0.031,0.012,0.044,0.019,0.107,0.007,0.062,0.042,0.043,0.108,-0.001
CDHP,Inpatient,NA,Labor/Delivery/Newborns,NA,2017,181.211,23.085,"9,075.51","1,156.15",19.967,1.07,"9,710.82","1,237.08",18.661,0.031,0.026,0.002,0.029,0.026,0.028,0.003,0.141,0.033,0.064,0.072,0.07,0.139,0.001
CDHP,Inpatient,NA,Labor/Delivery/Newborns,NA,2018,186.319,23.221,"9,415.30","1,173.45",19.789,1.075,"10,124.48","1,261.83",18.403,0.028,0.006,0.037,-0.009,0.005,0.043,-0.014,0.173,0.039,0.104,0.062,0.075,0.187,-0.012
CDHP,Inpatient,NA,Medical,NA,2014,250.665,17.45,"16,938.35","1,179.15",14.799,1,"16,938.35","1,179.15",14.799,,,,,,,,0,0,0,0,0,0,0
CDHP,Inpatient,NA,Medical,NA,2015,255.785,16.927,"17,697.58","1,171.15",14.453,1.013,"17,929.22","1,186.47",14.266,0.02,-0.03,0.045,-0.023,0.013,0.058,-0.036,0.02,-0.03,0.045,-0.023,0.013,0.058,-0.036
CDHP,Inpatient,NA,Medical,NA,2016,260.484,15.473,"18,331.43","1,088.91",14.21,1.022,"18,737.74","1,113.04",13.902,0.018,-0.086,0.036,-0.017,0.009,0.045,-0.026,0.039,-0.113,0.082,-0.04,0.022,0.106,-0.061
CDHP,Inpatient,NA,Medical,NA,2017,268.836,15.059,"19,134.05","1,071.81",14.05,1.039,"19,880.48","1,113.62",13.523,0.032,-0.027,0.044,-0.011,0.016,0.061,-0.027,0.072,-0.137,0.13,-0.051,0.039,0.174,-0.086
