State,HCCI_category,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
AK,Total,2014,"7,068.65",837.533,,,,,,,,,,,,,0,0,0,0,0,0,0
AK,Total,2015,"7,730.50",872.756,,,,,,0.094,0.042,0.082,0.012,0.014,0.097,-0.002,0.094,0.042,0.082,0.012,0.014,0.097,-0.002
AK,Total,2016,"7,892.35",916.397,,,,,,0.021,0.05,0.039,-0.017,0.01,0.049,-0.026,0.117,0.094,0.124,-0.005,0.023,0.151,-0.027
AK,Total,2017,"7,527.34",930.359,,,,,,-0.046,0.015,-0.016,-0.03,0.007,-0.01,-0.036,0.065,0.111,0.106,-0.035,0.03,0.139,-0.063
AK,Total,2018,"7,974.34",952.706,,,,,,0.059,0.024,0.025,0.034,0.012,0.037,0.021,0.128,0.138,0.134,-0.001,0.043,0.183,-0.042
AK,IP,2014,"1,182.81",38.859,"26,343.99",44.899,1,"26,343.99",44.899,,,,,,,,0,0,0,0,0,0,0
AK,IP,2015,"1,307.04",45.143,"29,562.73",44.213,1.032,"30,511.88",42.837,0.105,0.162,0.122,-0.015,0.032,0.158,-0.046,0.105,0.162,0.122,-0.015,0.032,0.158,-0.046
AK,IP,2016,"1,329.59",44.36,"31,706.56",41.934,1.051,"33,339.11",39.881,0.017,-0.017,0.073,-0.052,0.019,0.093,-0.069,0.124,0.142,0.204,-0.066,0.051,0.266,-0.112
AK,IP,2017,"1,228.46",42.698,"30,444.47",40.351,1.051,"31,994.03",38.397,-0.076,-0.037,-0.04,-0.038,-0.001,-0.04,-0.037,0.039,0.099,0.156,-0.101,0.051,0.214,-0.145
AK,IP,2018,"1,305.49",42.877,"32,961.45",39.606,1.027,"33,851.95",38.565,0.063,0.004,0.083,-0.018,-0.023,0.058,0.004,0.104,0.103,0.251,-0.118,0.027,0.285,-0.141
