HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
Total,NA,NA,,2014,"4,977.87",792.78,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Total,NA,NA,,2015,"5,165.69",817.19,,,,,,,,0.038,0.031,0.041,-0.003,0.004,0.045,-0.007,0.038,0.031,0.041,-0.003,0.004,0.045,-0.007
Total,NA,NA,,2016,"5,419.56",849.67,,,,,,,,0.049,0.04,0.036,0.013,0.011,0.047,0.002,0.089,0.072,0.079,0.01,0.015,0.094,-0.005
Total,NA,NA,,2017,"5,645.49",873.65,,,,,,,,0.042,0.028,0.039,0.003,-0.002,0.037,0.005,0.134,0.102,0.121,0.013,0.013,0.134,0
Total,NA,NA,,2018,"5,892.05",907.47,,,,,,,,0.044,0.039,0.026,0.018,0.003,0.029,0.015,0.184,0.145,0.15,0.031,0.016,0.167,0.015
Inpatient,NA,NA,All Inpatient,2014,"1,012.36",50.92,"18,265.00",918.692,55.426,1,"18,265.00",918.692,55.426,,,,,,,,0,0,0,0,0,0,0
Inpatient,NA,NA,All Inpatient,2015,"1,025.59",51.26,"18,954.20",947.314,54.109,1.008,"19,100.87",954.645,53.693,0.013,0.007,0.038,-0.024,0.008,0.046,-0.031,0.013,0.007,0.038,-0.024,0.008,0.046,-0.031
Inpatient,NA,NA,All Inpatient,2016,"1,072.74",52.34,"19,626.06",957.574,54.659,1.023,"20,081.13",979.778,53.42,0.046,0.021,0.035,0.01,0.015,0.051,-0.005,0.06,0.028,0.075,-0.014,0.023,0.099,-0.036
Inpatient,NA,NA,All Inpatient,2017,"1,104.05",53.24,"20,420.65",984.645,54.065,1.034,"21,108.33","1,017.80",52.304,0.029,0.017,0.04,-0.011,0.01,0.051,-0.021,0.091,0.045,0.118,-0.025,0.034,0.156,-0.056
Inpatient,NA,NA,All Inpatient,2018,"1,127.89",54.12,"20,824.53",999.165,54.162,1.045,"21,767.52","1,044.41",51.815,0.022,0.017,0.02,0.002,0.011,0.031,-0.009,0.114,0.063,0.14,-0.023,0.045,0.192,-0.065
