Age,Gender,plan_type,Year,share_of_member_months
Age 0-3,Male,Not CDHP,2014,0.0159
Age 0-3,Male,Not CDHP,2015,0.0152
Age 0-3,Male,Not CDHP,2016,0.0149
Age 0-3,Male,Not CDHP,2017,0.0144
Age 0-3,Male,Not CDHP,2018,0.0140
Age 0-3,Male,CDHP,2014,0.0058
Age 0-3,Male,CDHP,2015,0.0065
Age 0-3,Male,CDHP,2016,0.0068
Age 0-3,Male,CDHP,2017,0.0073
Age 0-3,Male,CDHP,2018,0.0076
Age 0-3,Female,Not CDHP,2014,0.0151
Age 0-3,Female,Not CDHP,2015,0.0144
Age 0-3,Female,Not CDHP,2016,0.0141
Age 0-3,Female,Not CDHP,2017,0.0136
Age 0-3,Female,Not CDHP,2018,0.0133
Age 0-3,Female,CDHP,2014,0.0055
Age 0-3,Female,CDHP,2015,0.0062
Age 0-3,Female,CDHP,2016,0.0065
Age 0-3,Female,CDHP,2017,0.0070
Age 0-3,Female,CDHP,2018,0.0073
Age 4-8,Male,Not CDHP,2014,0.0231
Age 4-8,Male,Not CDHP,2015,0.0220
Age 4-8,Male,Not CDHP,2016,0.0214
Age 4-8,Male,Not CDHP,2017,0.0206
Age 4-8,Male,Not CDHP,2018,0.0201
Age 4-8,Male,CDHP,2014,0.0088
Age 4-8,Male,CDHP,2015,0.0099
Age 4-8,Male,CDHP,2016,0.0102
Age 4-8,Male,CDHP,2017,0.0108
Age 4-8,Male,CDHP,2018,0.0113
Age 4-8,Female,Not CDHP,2014,0.0220
Age 4-8,Female,Not CDHP,2015,0.0210
Age 4-8,Female,Not CDHP,2016,0.0204
Age 4-8,Female,Not CDHP,2017,0.0196
Age 4-8,Female,Not CDHP,2018,0.0191
Age 4-8,Female,CDHP,2014,0.0084
Age 4-8,Female,CDHP,2015,0.0094
Age 4-8,Female,CDHP,2016,0.0097
Age 4-8,Female,CDHP,2017,0.0104
Age 4-8,Female,CDHP,2018,0.0108
Age 9-13,Male,Not CDHP,2014,0.0257
Age 9-13,Male,Not CDHP,2015,0.0246
Age 9-13,Male,Not CDHP,2016,0.0245
Age 9-13,Male,Not CDHP,2017,0.0238
Age 9-13,Male,Not CDHP,2018,0.0233
Age 9-13,Male,CDHP,2014,0.0097
Age 9-13,Male,CDHP,2015,0.0109
Age 9-13,Male,CDHP,2016,0.0115
Age 9-13,Male,CDHP,2017,0.0122
Age 9-13,Male,CDHP,2018,0.0127
Age 9-13,Female,Not CDHP,2014,0.0245
Age 9-13,Female,Not CDHP,2015,0.0235
Age 9-13,Female,Not CDHP,2016,0.0233
Age 9-13,Female,Not CDHP,2017,0.0227
Age 9-13,Female,Not CDHP,2018,0.0222
Age 9-13,Female,CDHP,2014,0.0094
Age 9-13,Female,CDHP,2015,0.0106
Age 9-13,Female,CDHP,2016,0.0111
Age 9-13,Female,CDHP,2017,0.0118
Age 9-13,Female,CDHP,2018,0.0123
Age 14-18,Male,Not CDHP,2014,0.0281
Age 14-18,Male,Not CDHP,2015,0.0269
Age 14-18,Male,Not CDHP,2016,0.0266
Age 14-18,Male,Not CDHP,2017,0.0259
Age 14-18,Male,Not CDHP,2018,0.0255
Age 14-18,Male,CDHP,2014,0.0100
Age 14-18,Male,CDHP,2015,0.0113
Age 14-18,Male,CDHP,2016,0.0118
Age 14-18,Male,CDHP,2017,0.0126
Age 14-18,Male,CDHP,2018,0.0131
Age 14-18,Female,Not CDHP,2014,0.0269
Age 14-18,Female,Not CDHP,2015,0.0259
Age 14-18,Female,Not CDHP,2016,0.0257
Age 14-18,Female,Not CDHP,2017,0.0250
Age 14-18,Female,Not CDHP,2018,0.0246
Age 14-18,Female,CDHP,2014,0.0096
Age 14-18,Female,CDHP,2015,0.0109
Age 14-18,Female,CDHP,2016,0.0114
Age 14-18,Female,CDHP,2017,0.0122
Age 14-18,Female,CDHP,2018,0.0127
Age 19-25,Male,Not CDHP,2014,0.0422
Age 19-25,Male,Not CDHP,2015,0.0405
Age 19-25,Male,Not CDHP,2016,0.0395
Age 19-25,Male,Not CDHP,2017,0.0383
Age 19-25,Male,Not CDHP,2018,0.0376
Age 19-25,Male,CDHP,2014,0.0139
Age 19-25,Male,CDHP,2015,0.0155
Age 19-25,Male,CDHP,2016,0.0166
Age 19-25,Male,CDHP,2017,0.0177
Age 19-25,Male,CDHP,2018,0.0183
Age 19-25,Female,Not CDHP,2014,0.0407
Age 19-25,Female,Not CDHP,2015,0.0392
